/* CONJUNTOS */

set N:= o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12 o13 o14 o15 o16 o17 o18 o19 o20;

set M:= 1 2;

param: l O D start_cost:=
o1 10 344 501 12
o2 7 30 265 99
o3 6 377 631 96
o4 4 178 454 31
o5 9 91 265 97
o6 4 385 607 64
o7 9 10 309 69
o8 2 175 284 44
o9 6 180 461 53
o10 6 380 501 47
o11 9 65 222 32
o12 7 354 609 78
o13 3 450 732 91
o14 2 457 579 72
o15 7 262 421 84
o16 8 232 438 75
o17 5 411 544 66
o18 2 29 189 94
o19 10 367 534 38
o20 7 366 549 50
;

param giro 
:	o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12 o13 o14 o15 o16 o17 o18 o19 o20:=
o1 0 19 22 69 33 28 77 43 36 45 40 48 92 18 49 94 77 77 37 67
o2 75 0 69 48 78 72 74 23 79 55 42 14 42 76 61 62 77 72 82 12
o3 50 19 0 62 89 51 43 33 72 77 65 26 55 62 67 57 54 72 94 50
o4 74 65 88 0 35 35 24 26 77 28 25 14 36 96 19 27 93 19 24 43
o5 72 52 13 78 0 66 43 59 43 33 52 34 26 45 78 47 55 97 98 100
o6 84 41 58 26 75 0 60 90 98 85 24 22 47 41 49 71 100 83 96 69
o7 77 59 100 91 100 92 0 72 19 75 71 10 27 48 20 62 94 19 42 70
o8 13 55 50 95 38 80 75 0 94 29 84 43 10 88 39 46 71 94 28 38
o9 33 98 76 20 30 80 85 93 0 28 24 93 91 12 84 46 34 33 78 97
o10 51 26 62 45 16 57 16 42 59 0 93 36 87 81 13 44 52 46 72 67
o11 29 68 38 23 73 58 100 85 95 24 0 91 78 96 27 34 40 30 34 96
o12 22 31 86 81 99 59 68 95 61 56 92 0 22 93 74 72 98 40 69 19
o13 14 57 40 47 34 96 70 50 56 52 66 43 0 44 21 14 64 36 98 54
o14 38 37 48 92 80 48 95 93 83 55 19 92 67 0 16 32 41 62 95 55
o15 49 28 32 48 45 92 29 30 93 33 21 61 77 68 0 34 96 52 12 83
o16 35 92 62 21 42 33 72 94 78 35 99 12 63 23 97 0 54 40 39 14
o17 100 84 54 44 31 73 63 87 44 21 17 73 50 91 75 69 0 62 33 36
o18 45 82 99 28 37 43 65 50 80 58 33 76 99 32 50 35 59 0 64 88
o19 56 27 60 79 33 26 68 31 64 27 89 90 95 78 77 92 55 47 0 11
o20 20 86 45 18 28 11 60 79 91 73 94 42 92 92 65 90 98 63 89 0
;

